IDs,total_score,percentage,batch
anj,7.0,25.93,Beginner
ala,7.0,25.93,Beginner
ndr,14.0,51.85,Beginner
nav,10.0,37.04,Beginner
van,13.0,48.15,Beginner
uma,11.0,40.74,Beginner
ngh,18.0,66.67,Advanced
nat,6.0,22.22,Beginner
thy,11.0,40.74,Beginner
sk,16.0,59.26,Beginner
cmr,9.0,33.33,Beginner
ris,19.0,70.37,Advanced
ngh,16.0,59.26,Beginner
swa,10.0,37.04,Beginner
dra,16.0,59.26,Beginner
ari,6.0,22.22,Beginner
nir,18.0,66.67,Advanced
ach,10.0,37.04,Beginner
tta,17.0,62.96,Advanced
yil,11.0,40.74,Beginner
ppu,23.0,85.19,Advanced
ss,17.0,62.96,Advanced
ain,15.0,55.56,Beginner
man,16.0,59.26,Beginner
aar,15.0,55.56,Beginner
abm,15.0,55.56,Beginner
bus,21.0,77.78,Advanced
bum,12.0,44.44,Beginner
kal,22.0,81.48,Advanced
thi,9.0,33.33,Beginner
hat,8.0,29.63,Beginner
ose,15.0,55.56,Beginner
aik,11.0,40.74,Beginner
han,14.0,51.85,Beginner
nm,14.0,51.85,Beginner
yay,23.0,85.19,Advanced
ang,23.0,85.19,Advanced
iga,15.0,55.56,Beginner
sha,22.0,81.48,Advanced
vam,11.0,40.74,Beginner
sha,8.0,29.63,Beginner
lms,10.0,37.04,Beginner
ngh,18.0,66.67,Advanced
ant,13.0,48.15,Beginner
ash,23.0,85.19,Advanced
tta,20.0,74.07,Advanced
rma,18.0,66.67,Advanced
iah,11.0,40.74,Beginner
han,12.0,44.44,Beginner
kar,20.0,74.07,Advanced
gir,17.0,62.96,Advanced
hya,4.0,14.81,Beginner
ose,19.0,70.37,Advanced
nda,17.0,62.96,Advanced
eja,21.0,77.78,Advanced
amy,17.0,62.96,Advanced
ppa,12.0,44.44,Beginner
phr,14.0,51.85,Beginner
nsg,13.0,48.15,Beginner
nti,9.0,33.33,Beginner
